"brand","mappedBrand","logo"
"雷诺","雷诺","https://media.cform.io/atcp/RENAULT.png"
"兰博基尼","屏蔽屏蔽屏蔽",
"猎豹汽车","猎豹汽车",
"劳斯莱斯","屏蔽屏蔽屏蔽",
"力帆","力帆","https://media.cform.io/atcp/LIFAN.png"
"陆风","陆风","https://media.cform.io/atcp/LANDWIND.png"
"路特斯","屏蔽屏蔽屏蔽",
"理想智造","屏蔽屏蔽屏蔽",
"雷丁","屏蔽屏蔽屏蔽",
"陆地方舟","陆地方舟",
"零跑","屏蔽屏蔽屏蔽",
"莲花","屏蔽屏蔽屏蔽",
"理念","理念",
"LITE","北汽新能源",
"Lorinser","屏蔽屏蔽屏蔽",
"LOCAL MOTORS","屏蔽屏蔽屏蔽",
"领途","屏蔽屏蔽屏蔽",
"拉达","屏蔽屏蔽屏蔽",
"LeSEE","屏蔽屏蔽屏蔽",
"朗世","屏蔽屏蔽屏蔽",
"拉共达","屏蔽屏蔽屏蔽",
"Lucid","屏蔽屏蔽屏蔽",
"领志","广汽丰田",
"马自达","马自达","https://media.cform.io/atcp/MAZDA.png"
"MG名爵","MG名爵",
"玛莎拉蒂","屏蔽屏蔽屏蔽",
"MINI","MINI",
"迈凯伦","屏蔽屏蔽屏蔽",
"迈巴赫","屏蔽屏蔽屏蔽",
"摩根","屏蔽屏蔽屏蔽",
"明君华凯","屏蔽屏蔽屏蔽",
"纳智捷","纳智捷","https://media.cform.io/atcp/LUXGEN.png"
"哪吒汽车","屏蔽屏蔽屏蔽",
"南京金龙","屏蔽屏蔽屏蔽",
"nanoFLOWCELL","屏蔽屏蔽屏蔽",
"Noble","屏蔽屏蔽屏蔽",
"NEVS国能汽车","屏蔽屏蔽屏蔽",
"讴歌","讴歌","https://media.cform.io/atcp/ACURA.png"
"欧尚汽车","欧尚汽车",
"欧拉","屏蔽屏蔽屏蔽",
"欧宝","欧宝",
"欧睿","屏蔽屏蔽屏蔽",
"欧朗","屏蔽屏蔽屏蔽",
"帕加尼","屏蔽屏蔽屏蔽",
"Polestar","屏蔽屏蔽屏蔽",
"奇瑞","奇瑞","https://media.cform.io/atcp/CHERY.png"
"起亚","起亚","https://media.cform.io/atcp/KIA.png"
"前途","屏蔽屏蔽屏蔽",
"乔治·巴顿","屏蔽屏蔽屏蔽",
"庆铃汽车","屏蔽屏蔽屏蔽",
"日产","日产","https://media.cform.io/atcp/NISSAN.png"
"荣威","荣威","https://media.cform.io/atcp/ROEWE.png"
"瑞麒","屏蔽屏蔽屏蔽",
"容大智造","屏蔽屏蔽屏蔽",
"Rossion","屏蔽屏蔽屏蔽",
"斯柯达","斯柯达","https://media.cform.io/atcp/SKODA.png"
"三菱","三菱","https://media.cform.io/atcp/MITSUBISHI.png"
"斯巴鲁","斯巴鲁","https://media.cform.io/atcp/SUBARU.png"
"上汽大通MAXUS","上汽大通MAXUS",
"smart","smart",
"SWM斯威汽车","SWM斯威汽车",
"双龙","双龙","https://media.cform.io/atcp/SSANGYONG.png"
"赛麟","屏蔽屏蔽屏蔽",
"斯达泰克","屏蔽屏蔽屏蔽",
"双环","双环",
"萨博","萨博",
"思铭","东风本田",
"世爵","屏蔽屏蔽屏蔽",
"SOL思皓","屏蔽屏蔽屏蔽",
"SF MOTORS","SF MOTORS",
"陕西通家","陕西通家",
"特斯拉","特斯拉","https://media.cform.io/atcp/TESLA.png"
"腾势","腾势","https://media.cform.io/atcp/DENZA.png"
"泰卡特","屏蔽屏蔽屏蔽",
"塔塔","屏蔽屏蔽屏蔽",
"泰克鲁斯·腾风","屏蔽屏蔽屏蔽",
"沃尔沃","沃尔沃","https://media.cform.io/atcp/VOLVO.png"
"五菱","五菱","https://media.cform.io/atcp/WULING.png"
"WEY","WEY",
"五十铃","五十铃",
"蔚来","蔚来",
"威马汽车","威马汽车",
"威兹曼","屏蔽屏蔽屏蔽",
"威麟","屏蔽屏蔽屏蔽",
"W Motors","屏蔽屏蔽屏蔽",
"沃克斯豪尔","屏蔽屏蔽屏蔽",
"现代","现代","https://media.cform.io/atcp/HYUNDAI.png"
"雪佛兰","雪佛兰","https://media.cform.io/atcp/CHEVROLET.png"
"雪铁龙","雪铁龙","https://media.cform.io/atcp/CITROEN.png"
"小鹏汽车","小鹏汽车",
"西雅特","西雅特",
"星驰","星驰",
"新特","屏蔽屏蔽屏蔽",
"新凯","新凯",
"英菲尼迪","英菲尼迪","https://media.cform.io/atcp/INFINITI.png"
"一汽","一汽","https://media.cform.io/atcp/FAW.png"
"野马汽车","野马汽车",
"依维柯","依维柯",
"驭胜","驭胜",
"御捷","御捷","https://media.cform.io/atcp/YOGOMO.png"
"英致","英致",
"云度新能源","云度新能源",
"永源","永源","https://media.cform.io/atcp/JONWAY.png"
"延龙汽车","屏蔽屏蔽屏蔽",
"云雀汽车","云雀汽车",
"裕路","裕路",
"游侠","屏蔽屏蔽屏蔽",
"众泰","众泰","https://media.cform.io/atcp/ZOTYE.png"
"中华","中华","https://media.cform.io/atcp/ZHONGHUA.png"
"知豆","知豆","https://media.cform.io/atcp/ZD.png"
"中兴","屏蔽屏蔽屏蔽","https://media.cform.io/atcp/ZHONGXING.png"
"中欧","屏蔽屏蔽屏蔽",
"正道汽车","屏蔽屏蔽屏蔽",
"中顺","屏蔽屏蔽屏蔽",
"之诺","之诺","https://media.cform.io/atcp/ZINORO.png"
"Zenvo","屏蔽屏蔽屏蔽",
